premise	hypo	label
Sakata cream ya conceptually ina vipimo viwili vya msingi - bidhaa na geography .	Bidhaa na geography ndio hufanya kazi ya utoaji wa cream .	neutral
Unajua wakati wa msimu na i katika kiwango chako , uh kwa kiwango kinachofuata kama wakiamua kukumbuka timu ya mzazi ambayo braves kuamua kupiga simu ya kukumbuka jamaa wa triple a then a double guy goes up replace him and a single guy anaenda replace	Wewe mambo kwa kiwango kifuatacho kama watu alipo .	entailment
Moja ya nambari yetu will maagizo yako minutely .	Mwanachama wa timu yangu will maagizo yako kwa usahihi mkubwa .	entailment
Vipi know ? hii yote ni maelezo yao tena .	Maelezo haya ni yao .	entailment
Yeah i tell you what though ukienda bei baadhi ya hizo viatu za tennis naona kwa nini sasa unajua they ' re getting up in the mia dollar range	Viatu vya tennis zina masafa ya bei .	neutral
My broke my sasa sasa sasa up up up up up up up	I kwamba walkman broke na sasa lazima kwa stereo kwa sauti kubwa .	entailment
Lakini mosaics kadhaa wa kikristo survive juu ya mountain ni bikira na mtoto wa yesu , pamoja na gabriel gabriel kwa haki ( rafiki yake michael , hadi kushoto , ana hifadhi kwa ajili ya manyoya kadhaa kutoka kwa mbawa zake ) .	Most of the christian mosaics walikuwa na waislamu .	neutral
( soma kwa slate ' s take kwa matokeo ya jackson . )	Slate alikuwa na maoni kuhusu matokeo ya jackson .	entailment
Mashoga na wasagaji .	Heterosexuals .	contradictory
Mwisho wa rue des faranga-bourgeois ni nini wengi zingatia kuwa viwanja vya makazi bora zaidi ya jiji , eneo des vosges , na jiwe lake na matofali nyekundu waliopora .	Eneo la des vosges ni kwa marumaru ya kijivu .	contradictory
I kupitia seti ya milango ya kibanda , na kuanguka kwenye ardhi -	I kupitia milango na kuanguka chini .	entailment
Raha kwa watu wazima na watoto	Raha kwa watoto tu	contradictory
Sio kwamba maswali wao walikuwa au halali ( ingawa wengi kwani chini ya kategoria ya tayari aliuliza na kujibiwa ) .	Maswali yote yalikuwa ya kuvutia kwa mujibu wa kikundi cha focus waliwasiliana kwenye mada .	neutral
Thebes uliofanyika kwa nguvu mpaka nasaba ya 12 , wakati mfalme wake wa kwanza , amenemhet iwho reigned kati ya 1980 1951 b.c. cheo mji mkuu karibu na memphis .	Mji mkuu karibu na memphis ilidumu nusu karne kabla ya watu wake telekeza kwa mji mkuu ujao .	neutral
I kuwa na wasiwasi kuhusu wasiwasi wako , lakini iwapo ningekuwa wewe , huenda nina wasiwasi zaidi kuhusu matokeo ya kiwango cha karibu cha dola hii ya $ 1 .	Nina wasiwasi zaidi kuhusu masuala yako kuliko matokeo ya kiwango cha karibu .	contradictory
Masuala katika data synthesis .	Matatizo katika data synthesis .	entailment
Well unaona hiyo kwa television pia .	Unaweza kuona hiyo kwenye televisheni , vilevile .	entailment
Vrenna na mimi both na yeye karibu alichukua .	Wala wala mwenyewe .	contradictory
Uchambuzi huu pooled makadirio kutoka katika masomo haya mawili ili kuendeleza kazi ya c-r kuunganisha saa kumi na moja kwa moja .	Uchambuzi inadhihirisha kuwa hakuna kiungo kati ya saa nne usiku na hima .	contradictory
