premise	hypo	label
Kavramsal krem kaymağını iki temel boyutu vardır - ürün ve coğrafya .	Ürün ve coğrafya , krem kaymağını işi yapan şey .	neutral
Sezon boyunca bilirsin ve sanırım senin seviyesinde onları bir sonraki seviyeye kaybedersin . Eğer ana takımı geri almaya karar verirsen yiğitlere , üçlü bir adamı hatırlamak için aramaya karar verir. yerini değiştir ve tek bir adam onun yerine geçecek	Eğer insanlar hani , aşağıdaki seviyeye .	entailment
Bizim biri senin bizat taşır .	Benim bir üyesi emirlerini muazzam bir hassasiyetle infaz edecek .	entailment
Nerden biliyorsun ? Tüm bunlar yine onların bilgileri .	Bu bilgi onlara aittir .	entailment
Yaaa ben sana ne diyeceğim sen git fiyat ver biraz o tenis ayakkabılarını ben görebiliyorum neden şimdi biliyorsun yüz dolar aralığında	Tenis ayakkabılarının bir menzili var .	neutral
Walkman ' im kırıldı o yüzden üzgünüm şimdi sadece müzik sesini yüksek sesle çevirmek zorundayım	Walkman ' im kırıldı diye üzgünüm ve şimdi müzik sesini gerçekten yüksek sesle çevirmek zorundayım .	entailment
Ama bir kaç Hristiyan mozaikler hayatta üzerinde hayatta kalır , bebek isa ile bakire , baş melek Cebrail ' le birlikte ( yoldaşı michael , solda , birkaç tüy için ortadan kayboldu ) .	Hristiyan mozaikler çoğu müslümanlar tarafından yok edildi .	neutral
Jackson ' ın bulgularını sayfa için okuyun . ) ) )	Sayfa ' in Jackson ' ın bulguları hakkında bir fikri vardı .	entailment
Geyler ve lezbiyenler .	Heteroseksüeller .	contradictory
Rue des Frank-Burjuva ' ın sonunda şehrin en yakışıklı yerleşim meydanı olan yer des vosges , taş ve kırmızı tuğla cephe ile yer almaktadır .	Yer des vosges tamamen gri mermer inşa edilmiştir .	contradictory
Bir set kabin kapısından girip yere düştüm	Kapıdan girip düştüm .	entailment
Yetişkinler ve çocuklar için eğlence .	Sadece çocuklar için eğlence .	contradictory
Sorulan sorular ilginç veya meşru değildi ( gerçi çoğu zaten soruldu ve cevap verdi ) .	Konu hakkında danıştı bir odak grubuna göre tüm sorular ilginçti .	neutral
TEB , 12 ' inci Hanedan ' a kadar güce sahip oldu , ilk kralı amenemhet iwho , M.ö. 1980 tarihleri arasında memphis yakınlarında bir başkent kuruldu .	Memphis yakınlarındaki Başkent , halkı bir sonraki sermaye için terk etmeden önce sadece yarım yüzyıl sürdü .	neutral
Endişeleriniz hakkında konuşkan olmak istemem ama sizin yerinizde olsam bu 1 . TL ' nin yakın vadeli oran sonuçları hakkında daha çok endişelerim olabilir .	Senin sorunların hakkında , yakın vadeli oran etkileri daha çok endişeleniyorum .	contradictory
Veri sentezi ile ilgili sorunlar .	Veri sentezi ile ilgili sorunlar .	entailment
Bunu televizyonda da görüyorsunuz	Bunu televizyonda da görebilirsiniz .	entailment
Remix ve ben onunla savaştık ve neredeyse bizi aldı .	Ne remix ne de ben onunla savaştık .	contradictory
Bu analiz , Başbakan ' ı kronik bronşit bağlayan c-R fonksiyonu geliştirmek için bu iki çalışmalardan tahminler birikmiş .	Analiz , özelden ve bronşit arasında bağlantı olmadığını kanıtlıyor .	contradictory
